Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk10.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk11.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk12.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk1.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk2.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk3.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk4.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk5.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk6.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk7.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk8.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk9.raw.dia
P07214	P07214;A0A1L1SSH9;Q3TXI6;Q5NCU4;Q5NCU5	SPRC_MOUSE	Sparc	SPARC	1247.96			405.878	732.054	583.728	654.249	973.841	492.503	461.507	569.389	888.28
P07356	P07356;Q542G9;B0V2N5;Q3UCD3;Q99KH3	ANXA2_MOUSE	Anxa2	Annexin A2	4263.23	2228.07	14499.6	3528.23	3461.01	2463.32	3058.71	2745.65	5542.84	3384.05	5755.69	2461.52
P07724	P07724;Q546G4;K7R066	ALBU_MOUSE	Alb	Albumin	62747	107150	66056.8	20735.8	33290.5	28883.9	41089.6	65442.1	66022.8	21928.7	68035.8	47852.7
P07901	P07901;Q80Y52;Q3TKA2;Q3UIF3;A0PJ91;Q3TJU7;Q3TKB9;Q3TKG0;Q8C5U3	HS90A_MOUSE	Hsp90aa1	Heat shock protein HSP 90-alpha	10092.1	7840.51	7454.2	8554.78	7117.66	7042.84	6769.04	8296.65	9799.63	8917.97	9372.14	9594.16
P08003	P08003;A0A0R4J0Z1	PDIA4_MOUSE	Pdia4	Protein disulfide-isomerase A4	278.24	480.399	478.8	1007.65	594.197	304.391	973.751	355.213	402.652	655.783	478.751	685.346
P08030	P08030;A0A1D5RLR6	APT_MOUSE	Aprt	Adenine phosphoribosyltransferase				384.954	633.34	463.961	648.531			806.995		410.253
P08103	P08103;F6UND7	HCK_MOUSE	Hck	Tyrosine-protein kinase HCK		1636.87		1338.56	1087.39	2126.43	1838.14	941.977	1444.44	1541.96	1225.03	1476.79
P08113	P08113;Q3UAD6;Q3UBU0;F7C312;Q3TUD6;Q8CCY5;Q91V38	ENPL_MOUSE	Hsp90b1	Endoplasmin	3082.29	2235.17	4881.59	6134.7	4960.34	4027.05	5008.04	5091.89	3143.79	3412.91	2897.82	2394.08
P08226	P08226;Q3TXU4;A0A1B0GX15;G3UWN5;Q3TX45;Q3UBS0;Q4FK40;Q6GTX3	APOE_MOUSE	Apoe	Apolipoprotein E	26696.3	27095.5	16579.1	21325.7	22427.2	25056	24443	25743.3	25524.9	27234.6	29397.1	28412.6
P08228	P08228	SODC_MOUSE	Sod1	Superoxide dismutase [Cu-Zn]	3520.55	3720.55		657.266	1284.46	990.783	1649.04	2168.47	2370.96	1144.39	2426.42	1062.38
P08249	P08249	MDHM_MOUSE	Mdh2	Malate dehydrogenase, mitochondrial	4731.94	2656.68	7147.1	8565.88	13449.5	5891.33	6105.79	4364.57	3766.6	5812.62	4550.59	5666
P08414;P58801	P08414;P58801;Q547H1;Q8BGR3;V9GXY4	KCC4_MOUSE;RIPK2_MOUSE	Camk4;Ripk2	Calcium/calmodulin-dependent protein kinase type IV				618.73	257.639	481.113				256.486		
P08551	P08551;Q05DD2	NFL_MOUSE	Nefl	Neurofilament light polypeptide	7383.44	6375.48	7955.68	17257.2	10525	13179.4	13582.7	16032	9126.04	11122.4	12846.8	12681
P08553	P08553;A0A0R4J036	NFM_MOUSE	Nefm	Neurofilament medium polypeptide	3377.5	4671.25	5520.34	10021.1	5757.01	7093.67	5887.89	8199.61	5657.07	4519.73	6747.02	5239.06
P08556	P08556;Q61411;P01113;P01115;P23175;A0A0G2JGP4;Q3TMF4;Q3UCX0;Q4FJP3;Q9D091;Q9R0B8	RASN_MOUSE	Nras	GTPase NRas	739.417		1242.03	1278.72	1150.44	1401.32	693.994	804.87	498.147	618.177	641.868	555.429
P08752	P08752;A0A0A6YWA9	GNAI2_MOUSE	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	1232.99	1208.58	2488.57	3701	3724	3175.15	4061.19	1767.49	2217.12	2511.89	1989.57	1765.27
P08920	P08920;Q549Q4;Q3UU70;Q9R201	CD2_MOUSE	Cd2	T-cell surface antigen CD2				287.481								275.534
P09055	P09055	ITB1_MOUSE	Itgb1	Integrin beta-1	309.003	458.327		1914.86	1286.17	1360.13	2040.4	592.961	1076.79	1283.57	701.116	755.922
P09103	P09103;Q3TIM0;Q3TF72;Q3TGS0;Q3THC3;Q3TT76;Q3TWE3;Q3U738;Q3UA23;Q3UBY9;Q3UDR2;Q3UJA8;Q3URP6	PDIA1_MOUSE	P4hb	Protein disulfide-isomerase	1439.08	1087.08	2720.44	1848.5	1450.1	1069.01	1575.93	1947.7	1299.96	1117.74	564.328	1201.28
P09242	B7XGA6;E9Q7P8;P09242;Q3TJD3;Q3TQ02;Q8JZS4;Q9EQ79	PPBT_MOUSE	Alpl	Alkaline phosphatase, tissue-nonspecific isozyme	869.419			1770.84	1393.54	976.743	1889.85	2063.45	1830.48	626.104	313.989	1237.31
P09405	P09405;Q3TL52;Q3TT41;Q8CD23;Q8CE30;Q3TGR3	NUCL_MOUSE	Ncl	Nucleolin	6734.51	5060.14	2278.93	1297.57	1205.78	1583.23	3023.82	2895.67	5205.02	1679.91	3545.82	2358.74
P09411	P09411;S4R2M7	PGK1_MOUSE	Pgk1	Phosphoglycerate kinase 1	3245.45	2358.58	1687.22	4274.84	4022.56	3502.62	2666.67	3040.06	3310.34	2252.63	3555.35	1894.3
P09671	P09671;Q4FJX9;A0A3B2WBF0;Q3U8W4	SODM_MOUSE	Sod2	Superoxide dismutase [Mn], mitochondrial				323.204	466.504	121.035						
P0C0A3	P0C0A3;B1AZ39	CHMP6_MOUSE	Chmp6	Charged multivesicular body protein 6		1549.7		1245.77	1660.33	1306.89	1307.97	1866.27		1554.52		1030.78
P0C0S6;Q3THW5	P0C0S6;Q3THW5;B2RVP5;G3UWL7;Q3UA95	H2AV_MOUSE;H2AZ_MOUSE	H2az1;H2az2	Histone H2A.Z	3130.85		5056.34	9413.77	7261.86	7955.89	2098.58	5426	1938.87	3720.01	941.093	1865.63
P0DP26;P0DP27;P0DP28	P0DP26;P0DP27;P0DP28;Q9D6P8;A0A1Y7VK66;A0A3Q4EHJ0;Q3UKW2	CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE	Calm1;Calm2;Calm3	Calmodulin-1	27469.2	29252.2	33198.5	16104.5	13436.3	14212.2	23314.3	15931	19930.4	27946.7	48467.3	30687.3
P10107	P10107;Q4FJV4;A0A494BBD8;B7STB7;Q3U5N9;Q3US43;Q4FK88	ANXA1_MOUSE	Anxa1	Annexin A1	392.018	828.404	3720.19	604.752	623.519	344.056	555.603	619.808	843.877	483.29	688.317	777.853
P10126	P10126;Q3TII3;Q3UA81;Q3UZQ3;Q58E64;D3YZ68;D3Z3I8	EF1A1_MOUSE	Eef1a1	Elongation factor 1-alpha 1	14813.8	18159.9	18718.5	20907.9	13406	15763.5	7845.33	12647.2	15635.8	8763.49	12521.1	11808.7
P10630	P60843;P10630;E9Q561;Q3TFG3;Q3TGK7;Q3TLL6;Q3U8I0;Q3UXC2;Q4FZL1;Q52KC1;Q5F2A7;Q8BTU6	IF4A2_MOUSE	Eif4a2	Eukaryotic initiation factor 4A-II	25283.3	17029.6	18495.6	18749.5	17423.1	22860.5	22662.2	36439.9	19313.6	24486.5	22634.3	27344.3
P10637	P10637;A0A0A0MQC7;A2A5Y6;B1AQW2;Q3UH19;Q547J4	TAU_MOUSE	Mapt	Microtubule-associated protein tau	13781.1	14710.8	11459.4	11642.8	16399.7	13402.7	11300	8358.96	14225.9	7795.31	11644.9	11982.9
P10639	P10639	THIO_MOUSE	Txn	Thioredoxin	3160.96	1894.83	5967.7	2246	3304.89	3146.54	3725.22	1857.73	3783.61	3636.67	3968.41	3177.98
P10649	P10649;A2AE89;Q6PJ91	GSTM1_MOUSE	Gstm1	Glutathione S-transferase Mu 1	225.579	604.58		485.361	430.423	481.212	594.674			388.089	601.243	677.575
P10711	P10711;E9PYD5;Q3UPE0;Q3UWX7	TCEA1_MOUSE	Tcea1	Transcription elongation factor A protein 1	215.936	173.15						296.069	286.044	152.338		277.619
P10852	P10852;Q3TN39;Q8BTJ9;A0A0U1RPK4;Q3U144;Q60849	4F2_MOUSE	Slc3a2	Amino acid transporter heavy chain SLC3A2	474.776			977.054	965.211	1497.09	1084.89	1238.42		492.973	414.072	442.532
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP2	P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9;Q8CBB6;A0JLV3;A0JNS9;B2RTK3;B2RVD5;Q8VEE3;Q921L4	H2B1B_MOUSE;H2B1C_MOUSE;H2B1F_MOUSE;H2B1H_MOUSE;H2B1M_MOUSE;H2B1P_MOUSE;H2B2B_MOUSE	H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb	Histone H2B type 1-F/J/L	201533	46675	259755	373368	400808	330923	194332	306250	99887.9	190249	146969	100947
P10922	P10922;Q3U4Y0;Q8C1Y3	H10_MOUSE	H1-0	Histone H1.0	2178.9	1016.48	4975.3	1845.7	1596.63	2241.97	1307.87	1108.64	1974.33	567.134	408.099	539.078
P11031	P11031	TCP4_MOUSE	Sub1	Activated RNA polymerase II transcriptional coactivator p15	4092.05	3634.13	3575.4	2980.19	1703.85	3015.43	2345.46	3177.21	3398.53	3159.72	3129.28	2440.11
P11087	P11087;Q60785;Q99LL6	CO1A1_MOUSE	Col1a1	Collagen alpha-1(I) chain	1174.54	3219.75	16485.3	676.965	1635.88	1035.61	1112.12	932.515	4787.58	741.422	1321.82	931.066
P11276	P11276;A0A087WR50;A0A087WS56;A0A087WSN6;B7ZNJ1;B9EHT6;Q3TBB4;Q3TCF1;Q3UGY5;Q3UH17;Q3UHL6;Q3UHR1;Q3UZF9;Q8R3F3	FINC_MOUSE	Fn1	Fibronectin	490.079			195.434	232.114					415.011		
P11352	P11352;A0A0A6YVV2;A0A0A6YY34	GPX1_MOUSE	Gpx1	Glutathione peroxidase 1	1375.07	924.351		967.951	1133.23	525.409	462.688	512.431			589.176	1250
P11404	P11404;Q5EBJ0	FABPH_MOUSE	Fabp3	Fatty acid-binding protein, heart	3562	2720.75	4483.61	3947.67	5058.56	5211.67	3705.74	3587.81	3337.77	6025.26	7143.7	3652.15
P11499	P07901;P11499;Q71LX8;Q80Y52;Q3TKA2;Q3UIF3;A0PJ91;E9Q3D6;Q3TJU7;Q3TKB9;Q3TKG0	HS90B_MOUSE	Hsp90ab1	Heat shock protein HSP 90-beta	15034.8	12922.3	11604.2	13393.3	12763.2	11331.2	10225.8	13284.2	15209.1	15031.5	15790.4	16581.1
P11531	P11531;A0A668KLA2;Q3TWL4;Q5U476;A0A023ZT56;A0A023ZTV5;A0A1Q1NN66;A0A1Q1PRS2;A0A1Q1PRS4;A0A1Q1PRS6;A0A1Q1PRS9;A0A1Q1PRT9;A2A9Z1;A2A9Z2;Q8BHM1	DMD_MOUSE	Dmd	Dystrophin	543.904			310.057	663.719		324.943					445.066
P11627	P11627;A2AFG7;A2AFG8;Q6PGJ3	L1CAM_MOUSE	L1cam	Neural cell adhesion molecule L1	547.988			1591.17	2177.9	1861.28	1352.2	1284.43	1091.59	1228.71	774.846	1036.75
P11679	P11679	K2C8_MOUSE	Krt8	Keratin, type II cytoskeletal 8				492.728						664.23	483.42	367.069
P11714	P11714;I6L977;L7N463;A0A2R8VHD8;A0A2R8VHT2;A0A2R8VHW1;Q3UNW2	CP2D9_MOUSE	Cyp2d9	Cytochrome P450 2D9					837.29		1630.15	4671.56			4680.76	8219.08
P11798	P11798;F8WIS9;Q80TN1;F8WHB5	KCC2A_MOUSE	Camk2a	Calcium/calmodulin-dependent protein kinase type II subunit alpha	1681.22	922.834	1440.46	1838.2	2233.41	2652.26	2253.57	1474.38	1962.22	1953.86	1120.47	1264.77
P11835	P11835;Q542I8;D3YYP8;M0QWA7	ITB2_MOUSE	Itgb2	Integrin beta-2	1092.98		2297.94	1791.6	1127.17	2177.08	1147.86	794.627	923.404	774.878	659.247	929.061
P11881	P11881;Q3UVA1;Q8BQN0;Q8C7X9	ITPR1_MOUSE	Itpr1	Inositol 1,4,5-trisphosphate receptor type 1	1102.7	1336.3		762.839	871.572	652.192	1263.3	1539.47		676.398		673.166
P11983	P11983	TCPA_MOUSE	Tcp1	T-complex protein 1 subunit alpha	8247.3	8273	10488.7	6736.24	5934.39	5823.95	9432.34	8219.12	8682.95	6467.22	8544.51	7235.48
P12023	P12023;A0A2I3BPT1;A0A2I3BQZ9;Q3TWF3;Q3TXI9;Q53ZT3;Q6GR78;A0A2I3BR03;Q3TVS1	A4_MOUSE	App	Amyloid-beta precursor protein	5592.52	7928.23	1852.06	2127.46	2466.5	2338.74	2729.88	4475.43	4406.4	2417.22	3368.24	3932.61
P12367	P12367;Q8K1M3;A0A0A6YX73;A0A0A6YY28	KAP2_MOUSE	Prkar2a	cAMP-dependent protein kinase type II-alpha regulatory subunit	667.175	979.601	467.634	783.15	813.649	617.322	669.323	370.347		793.342	414.658	688.425
P12382	P12382;Q8CD98	PFKAL_MOUSE	Pfkl	ATP-dependent 6-phosphofructokinase, liver type	713.065	987.58	1226.79	1023.33	1077.04	1600.79	1353.25	867.646	1067.73	1238.89	1110.33	1253.97
P12657	P12657	ACM1_MOUSE	Chrm1	Muscarinic acetylcholine receptor M1				1162.54	1077.46	1402	2195.17	2011.94		1804.33		
P12658	P12658;Q8C5H2;Q8CEF3	CALB1_MOUSE	Calb1	Calbindin	665.585	1261.68		1125.62	787.322	2137.12	1941.27	1062.64	1193.77	1885.26	2475.83	1224.26
P12710	P12710;Q3V2F7	FABPL_MOUSE	Fabp1	Fatty acid-binding protein, liver	2958.38	3359.01		558.911	1145.58	1298.03	1961.16	2257.42	3091.51	1488.43	3856.58	2281.45
P12787	P12787	COX5A_MOUSE	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial	1273.88		5440.31	3301.47	4514.6	3769.69	2242.72	2498.6	2175.93	3397.72	2506.22	1703.66
P12815	P12815;Q3UGE5;Q8C5M4	PDCD6_MOUSE	Pdcd6	Programmed cell death protein 6				480.407	534.163	997.066	938.345	405.445	1702.96	503.488		
P12849	P12849;D3Z0V6;Q3TY04;Q921L9	KAP1_MOUSE	Prkar1b	cAMP-dependent protein kinase type I-beta regulatory subunit	1492.16	1397.4		614.824	625.758	582.502	1155.74	1004.64	1201.04	1029.55	1988.94	1571.49
P12960	P12960	CNTN1_MOUSE	Cntn1	Contactin-1	7055.77	3622.82	8847.98	11635.4	12992.6	13593.3	10639.8	10224	7509.57	9026.36	9535.59	9066.31
P12961	P12961;Q3TT51	7B2_MOUSE	Scg5	Neuroendocrine protein 7B2			2036.94	775.539	733.997	1150.14	356.768	686.783	451.618	349.023	105.582	
P12970	P12970;Q58ET1;Q5EBG5;Q6P1A9;Q80UT7	RL7A_MOUSE	Rpl7a	Large ribosomal subunit protein eL8	993.515	1885.11	3427.35	3267.12	2259.27	1679.52	1584.95	2718.8	2092.46	1888.48	1470.02	1364.04
P13020	P13020;Q6PAC1;Q3TGJ9;Q3U9Q8;Q3UCW8	GELS_MOUSE	Gsn	Gelsolin	1016.42	2607.79	6065.68	1295.61	1682.63	897.436	1302.99	756.283	1468.22	930.226	1184.49	475.424
P13439	P13439;Q544K9;Q3TVV7	UMPS_MOUSE	Umps	Uridine 5'-monophosphate synthase				199.373								
P13595	P13595;A0A0A6YY47;A0A0A6YY91;E9QB01;A0A0A6YWU2;E9Q589	NCAM1_MOUSE	Ncam1	Neural cell adhesion molecule 1	7249.03	6240.21	10882	15106.5	19059.2	19378.2	11985.1	8772.29	6914.19	9395.04	10495.9	7153.27
P13597	P13597;Q3U8M7;Q3TB10;Q3TB21;Q3THH5;Q3U7Q9;Q3U7T2;Q3UAU5;Q3UDJ5;Q4FK06;Q922B3;Q3UDC5	ICAM1_MOUSE	Icam1	Intercellular adhesion molecule 1				193.119	80.7402							
P13745	P13745;P24472;P30115;Q6P8Q0;Q8K0V9;Q9DCU1	GSTA1_MOUSE	Gsta1	Glutathione S-transferase A1	1043.22			1783.06	1639.43	1349.54	745.796	1796.09	1348.98	646.068	1514.93	892.764
P14094	P14094;Q545P0;Q3TRA6;Q3TSQ1;Q3TV47	AT1B1_MOUSE	Atp1b1	Sodium/potassium-transporting ATPase subunit beta-1	7592.9	4187.78	13373.4	24220	29577.5	25127	16318.8	15505.1	12051.6	13773.4	12464.9	7711.81
P14115	P14115	RL27A_MOUSE	Rpl27a	Large ribosomal subunit protein uL15				509.613	325.679	94.4586		485.539		95.7137		
P14131	P14131;A4FUS1;Q5CZY9;Q641N3	RS16_MOUSE	Rps16	Small ribosomal subunit protein uS9	4970.64	4441.04	7331.97	8354.45	5546.52	4811.73	4606.6	7222.47	4949.24	5210.57	3709.46	5865.22
P14148	P14148;F6XI62;Q3TK73;Q3UBI6;Q5M9N8	RL7_MOUSE	Rpl7	Large ribosomal subunit protein uL30	1468.53	1036.4	1720.15	2937.23	1654.41	1230.02	1136.78	2214.74	1190.36	1359.71	2412.95	1211.39
P14152	P14152;A0A5F8MPN8	MDHC_MOUSE	Mdh1	Malate dehydrogenase, cytoplasmic	9402.18	6273.66	5018.31	7886.98	10254.4	6252.13	7192.02	4118.4	6805.84	6082.41	8179.59	7725.13
P14206	P14206;B2CY77;A0A1L1SUK3	RSSA_MOUSE	Rpsa	Small ribosomal subunit protein uS2	8093.57	6302.16	10182.7	12173.5	10724.1	9613.42	14254.4	14330.9	9882.95	12692.8	11914.9	12762.9
P14211	B2MWM9;P14211;Q3UWP8	CALR_MOUSE	Calr	Calreticulin	1832.57	1436.77		2911.84	2543.11	2007.04	3416.06	2472.06	2703.96	1850.72	1365.74	1865.21
P14231	P14231;Q3UR55	AT1B2_MOUSE	Atp1b2	Sodium/potassium-transporting ATPase subunit beta-2	4048.05	2749.13	6154.76	9101	10113.6	10399.3	12532.7	9035.03	6240.61	7249.27	7170.61	3885.98
P14602	P14602;Q545F4;D3YZ06	HSPB1_MOUSE	Hspb1	Heat shock protein beta-1			1808.3	419.755		456.083						449.067
P14685	P14685;Q3U5M8;Q3ULJ5;Q8BK46;F7B7L8	PSMD3_MOUSE	Psmd3	26S proteasome non-ATPase regulatory subunit 3	1047.77	1367.72	1095.7	1233.49	1170.59	1054	1134.67	992.65	1459.72	1073.06	899.453	1217.61
P14733	P14733;Q8C553	LMNB1_MOUSE	Lmnb1	Lamin-B1	9425.01	2919.65	3925.95	4480.88	3117.59	7133.47	3156.12	6011.55	3612.83	3825.43	2569.65	2854.22
P14824	P14824;F8WIT2;Q3TUI1;Q3UDK4;Q3UI56;Q99JX6	ANXA6_MOUSE	Anxa6	Annexin A6	2549.27	2729.94	7613.52	7382.02	8169.82	6766.91	8563.59	5866.82	5022.62	5658.21	4738.96	3195.22
P14869	P14869;Q5M8R8;Q5FWB6;S4R1N1	RLA0_MOUSE	Rplp0	Large ribosomal subunit protein uL10	2187.32	1035.47		2995.09	1861.22	1765.82	1875.04	3035.97	2195.93	2221.49	2967.74	2337.05
P14873	P14873;B2RQQ5;Q3TZM8;Q8CAI9;Q8CFR9;A0PJ96	MAP1B_MOUSE	Map1b	Microtubule-associated protein 1B	13693	13792.1	10075.4	8546.89	6485.77	8034.03	8410.94	9925.73	13815.9	9447.54	12777.1	13179.4
P15105	P15105	GLNA_MOUSE	Glul	Glutamine synthetase	3567.53	4179.72	4851.91	6418.06	8413.67	6092.05	6358.51	3198.18	6004.2	4190.36	2873.25	4187.6
P15116	P15116;Q3UIC2;Q8BSI9;D3YYT0	CADH2_MOUSE	Cdh2	Cadherin-2				630.938	466.491	706.054	260.72			393.04		623.506
P15209	P15209;A0A286YCV8;A0A286YDA0;A0A286YDA3;B5BQV3;B5BQV4;Q3UHE3;W8R8Q6	NTRK2_MOUSE	Ntrk2	BDNF/NT-3 growth factors receptor	2034.78	1875.88		1087.34	855.222	1601.16	1301.92	1355.02	1489.3	1973.03	1743.54	2432.23
P15532	P15532;Q5NC81;E9PZF0;Q5NC80;Q5NC79	NDKA_MOUSE	Nme1	Nucleoside diphosphate kinase A	2400.02		1000.49	1539.1	786.279	1271.16		1398.2	1377.23	1096.56	1230.25	1580.25
P15864	P15864;Q3U292;Q3UXH2;Q5SZA3	H12_MOUSE	H1-2	Histone H1.2	1824.35	2825.63	4838.32	3300.34	12058.8	1831.84	3210.24	1429.8	2274.21	3768.85	1014.09	2997.66
P16054	P16054	KPCE_MOUSE	Prkce	Protein kinase C epsilon type	631.394	312.75		231.842	280.133	476.05	458.313	481.216	525.745	333.006		578.965
P16125	P16125;A0A6I8MX27;Q5M8R7	LDHB_MOUSE	Ldhb	L-lactate dehydrogenase B chain	3131.68	1732.47	1335.49	3435.17	3022.65	2880.58	2357.31	1395.87	2068.73	2346	3405.04	3906.13
P16254	P16254;A2AUM6	SRP14_MOUSE	Srp14	Signal recognition particle 14 kDa protein				87.5								
P16283	P16283;Q68EG4;Q9ERP4	B3A3_MOUSE	Slc4a3	Anion exchange protein 3				143.21	509.082	181.14	596.306			171.864		
P16330	P16330;Q3TYV5;Q3TYL9	CN37_MOUSE	Cnp	2',3'-cyclic-nucleotide 3'-phosphodiesterase	7201.27	7114.58	6003.28	9635.05	10284.1	5879.7	6643.88	4966.85	7180.18	3243.66	5608.47	5905.49
P16331	P16331;A0A1W2P6U4;Q3UEH8	PH4H_MOUSE	Pah	Phenylalanine-4-hydroxylase									658.585			636.165
P16388;P16390;P63141	P16388;P16390;P63141;Q3TZ64;Q8CA58;Q2KHP0	KCNA1_MOUSE;KCNA2_MOUSE;KCNA3_MOUSE	Kcna1;Kcna2;Kcna3	Potassium voltage-gated channel subfamily A member 1					155.772	349.967	449.883			181.571		
P16460	P16460;Q3UJ34;Q3UEJ7	ASSY_MOUSE	Ass1	Argininosuccinate synthase	1296.16	646.432		441.929	458.799	636.41	536.666	1678.27	1562.86	700.106	987.212	1529.33
P16546	P16546;A3KGU5;A3KGU7;A3KGU9;B2RXX6;B7ZWK3;B9EKJ1;E9Q447;Q3TYI8;Q58ES7;Q6PA04	SPTN1_MOUSE	Sptan1	Spectrin alpha chain, non-erythrocytic 1	12281.6	11485.2	17709.9	22579.6	18283.6	19484.2	13850	15937.1	12760	16007.3	15714.2	15842.3
P16627;P17879;Q61696	P16627;P17879;Q61696;A1L347;A1E2B8;B2CSK2;Q3TAI8;Q3TU85;Q9QWU1	HS71A_MOUSE;HS71B_MOUSE;HS71L_MOUSE	Hspa1a;Hspa1b;Hspa1l	Heat shock 70 kDa protein 1-like	1506.19	744.527	2718.06	1580.45	3614.66	3254.56	5143.95	4582.54	3129.19	4087.4	3828.62	1601.96
P16675	P16675;G3X8T3;Q544R6;Q9D2D1	PPGB_MOUSE	Ctsa	Lysosomal protective protein	407.344			137.936	272.759	364.362			215.284	293.858	594.73	390.001
P16858	A0A1D5RLD8;P16858;S4R1W1;A0A0A0MQF6;D2KHZ9;Q3TUZ9;Q4VBD1	G3P_MOUSE	Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	78999.5	49318.4	208521	55120.1	89136.8	79866.8	66907.2	54868.2	107416	52224.5	59191.6	48481.7
P17182	P17182;B0QZL1;Q5FW97;Q6PHC1	ENOA_MOUSE	Eno1	Alpha-enolase	4496.99	3139.47	11142.2	2092.22	3562.28	2296.63	2699.04	1304.78	3588.12	2193.32	2877.66	2871.19
P17183	P17183;P21550;Q4FK59;D3Z2S4;D3Z6E4;Q3UJ20;Q545V3;Q5SX59;Q5SX60;Q5SX61;Q922A0;D3YVD3	ENOG_MOUSE	Eno2	Gamma-enolase	3976.91	3729.13	4478.5	3370.78	6371.53	2755.79	4159.95	1556.56	4204.88	1942.29	3278.92	2356.17
P17225	P17225;Q8BHD7;Q80T07;Q8C2R5;Q8R509;E9QMW9;F7C521;F7DCW4;G3UXA6;G8JL74;Q3T984;Q3TQW3;Q3U5I2;Q3UBR5;Q5RJV5;Q6NZB8;Q8CB58;Q8K144	PTBP1_MOUSE	Ptbp1	Polypyrimidine tract-binding protein 1	1496.57			112.812	151.567	191.1	217.779		483.489	458.508	751.863	863.89
P17426	P17426	AP2A1_MOUSE	Ap2a1	AP-2 complex subunit alpha-1	2838.37	2247.18	2505.25	2850.55	3223.83	3061.56	2609.28	2712.59	2818.74	2958.61	2787.31	2458.67
P17427	P17427;Q3U7X9;Q69ZW4;Q6PEE6	AP2A2_MOUSE	Ap2a2	AP-2 complex subunit alpha-2	7035.85	6320.74	6629.11	6439.1	6485.02	8557.31	6782.61	7230.32	7380.13	6784.39	7372.07	9183.92
P17665	P17665	COX7C_MOUSE	Cox7c	Cytochrome c oxidase subunit 7C, mitochondrial			1889.51	2761.6	1760.14	3475.24	900.788	761.422	1193.6	712.877	977.203	
P17710	P17710;G3UVV4;Q3TJE3;Q3TTB4;Q3UPC4;Q6GQU1	HXK1_MOUSE	Hk1	Hexokinase-1	7341.1	3447.43	10202.7	15415.4	14777	17579.2	12138.1	11212.9	9799.06	13987.3	9099.69	10653.3
P17742	P17742;Q5SVY2;Q3TE63;Q3UAJ1	PPIA_MOUSE	Ppia	Peptidyl-prolyl cis-trans isomerase A	29285.9	31838.3	16285	17242.6	25303.5	17989.3	18740	14833.7	26265.6	20404.4	31403.2	23993.1
